AIN,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm,ladbs_appr
5503023009,1,1,10/9/2018,11/6/2018,1/31/2019,18010-10000-00054,1/5/2018,1/2/2020,727
5521003051,1,1,3/31/2016,4/20/2016,2/8/2019,19010-10000-01602,4/17/2019,1/27/2020,285
5521007036,1,1,5/10/2018,6/14/2018,9/12/2018,18010-30000-04517,9/17/2018,3/6/2020,536
5522016017,1,1,11/7/2017,12/1/2017,3/1/2018,18010-10000-00367,1/31/2018,7/3/2018,153
5527007024,1,1,8/21/2018,9/5/2018,3/5/2019,18010-10000-03330,6/28/2018,9/3/2019,432
5547018005,1,1,5/1/2019,7/23/2019,10/11/2019,18010-10000-05399,11/16/2018,12/23/2019,402
6006018001,1,1,12/2/2019,,12/27/2019,19010-10000-04269,9/24/2019,1/16/2020,114
6012009902,1,1,1/23/2018,2/2/2018,3/12/2018,18010-10000-02783,7/3/2018,4/5/2019,276
6018003033,1,1,10/23/2018,5/7/2019,11/1/2019,18010-10000-05189,11/20/2018,3/19/2020,485
6020009031,1,1,9/25/2018,12/7/2018,12/10/2018,17010-10000-03985,10/18/2017,7/23/2019,643
6022022011,1,1,10/10/2017,2/1/2018,2/6/2018,18010-10000-00910,3/1/2018,1/18/2019,323
6038010026,1,1,7/10/2018,8/8/2018,2/4/2019,17010-10000-02540,7/3/2017,3/29/2018,269
2241017010,1,0,#N/A,#N/A,#N/A,18010-20000-01788,2018-04-26,2019-03-22,330
2350010015,1,0,#N/A,#N/A,#N/A,18010-20000-03247,2018-06-22,2019-12-23,549
2353022009,1,0,#N/A,#N/A,#N/A,18010-30000-03511,2018-07-11,2019-02-11,215
2654025044,1,0,#N/A,#N/A,#N/A,18010-20000-01220,3/20/2018,10/22/2019,581
2786006016,1,0,#N/A,#N/A,#N/A,17010-20000-00222,2017-01-20,2019-06-19,880
4314010042,1,0,#N/A,#N/A,#N/A,19010-10000-00780,2/22/2019,3/3/2020,375
5037007022,1,0,#N/A,#N/A,#N/A,18010-20000-03759,7/30/2018,10/23/2019,450
5046015026,1,0,#N/A,#N/A,#N/A,18010-20000-00905,2/28/2018,7/16/2019,503
5049014009,1,0,#N/A,#N/A,#N/A,18010-10000-01056,4/4/2018,1/30/2019,301
5069019026,1,0,#N/A,#N/A,#N/A,18010-30000-04577,9/18/2018,11/4/2019,412
5073009012,1,0,#N/A,#N/A,#N/A,18010-10000-03716,7/25/2018,12/12/2019,505
5075029012,1,0,#N/A,#N/A,#N/A,18010-10000-01200,3/19/2018,12/4/2019,625
5084003006,1,0,#N/A,#N/A,#N/A,18010-10000-00467,2/12/2018,5/30/2019,472
5086015030,1,0,#N/A,#N/A,#N/A,18010-10000-01153,3/14/2018,6/10/2020,819
5092023003,1,0,#N/A,#N/A,#N/A,18010-10000-04915,10/11/2018,12/23/2019,438
5092028004,1,0,#N/A,#N/A,#N/A,17010-10000-02557,6/29/2017,5/21/2019,691
5094026002,1,0,#N/A,#N/A,#N/A,18010-10000-05899,12/7/2018,1/8/2020,397
5108009027,1,0,#N/A,#N/A,#N/A,18010-10000-01856,5/1/2018,1/17/2019,261
5141019007,1,0,#N/A,#N/A,#N/A,19010-10000-00848,3/18/2019,1/27/2020,315
5142001013,1,0,#N/A,#N/A,#N/A,18010-10000-01669,4/18/2018,10/11/2019,541
5142023013,1,0,#N/A,#N/A,#N/A,18010-10000-03833,8/2/2018,12/7/2018,127
5154006010,1,0,#N/A,#N/A,#N/A,17010-20000-04073,10/24/2017,12/28/2018,430
5177021003,1,0,#N/A,#N/A,#N/A,17010-10000-04210,10/31/2017,10/25/2019,724
5180008011,1,0,#N/A,#N/A,#N/A,19010-10000-00794,2/25/2019,1/13/2020,322
5521006039,1,0,#N/A,#N/A,#N/A,19010-10000-01240,3/26/2019,11/13/2019,232
5537024004,1,0,#N/A,#N/A,#N/A,18010-20000-02961,6/14/2018,2/6/2020,602
6003030013,1,0,#N/A,#N/A,#N/A,17010-30000-01077,3/10/2017,8/22/2018,530
6011008027,1,0,#N/A,#N/A,#N/A,19010-10000-03527,8/8/2019,2/24/2020,200
6018032001,1,0,#N/A,#N/A,#N/A,18010-20000-05988,12/13/2018,11/20/2019,342
6031019013,1,0,#N/A,#N/A,#N/A,17010-70000-02092,5/31/2017,9/12/2019,834
6032024022,1,0,#N/A,#N/A,#N/A,18010-20000-05987,12/13/2018,10/18/2019,309
6038010902,1,0,#N/A,#N/A,#N/A,17010-10000-02542,7/3/2017,3/29/2018,269
6048004025,1,0,#N/A,#N/A,#N/A,19010-10000-02628,6/18/2019,1/7/2020,203
7455012022,1,0,#N/A,#N/A,#N/A,18010-10000-01769,6/13/2018,12/10/2019,545
2138003020,0,1,#N/A,#N/A,#N/A,17010-20000-02093,2017-05-31,2018-05-29,363
2138022010,0,1,11/30/2016,12/30/2016,11/14/2017,16010-20000-06159,12/23/2016,12/19/2018,726
2148027005,0,1,9/14/2016,5/1/2017,5/22/2017,16010-10000-04924,10/25/2016,3/8/2018,499
2224004006,0,1,6/21/2017,12/29/2017,7/3/2018,18010-20000-04581,9/19/2018,3/16/2020,544
